0,1,2,3
1 Gennaio 2022,243.94,322.57,696.81
2 Gennaio 2022,247.94,320.57,694.89
3 Gennaio 2022,249.94,320.97,692.97
4 Gennaio 2022,253.44,320.57,689.13
5 Gennaio 2022,255.44,320.97,690.41
6 Gennaio 2022,258.94,318.97,696.17
7 Gennaio 2022,258.94,317.37,700.01
8 Gennaio 2022,263.44,315.77,700.65
9 Gennaio 2022,260.94,313.37,696.17
10 Gennaio 2022,262.94,316.17,694.25
11 Gennaio 2022,263.44,315.77,699.37
12 Gennaio 2022,267.94,317.37,694.25
13 Gennaio 2022,270.94,319.77,698.09
14 Gennaio 2022,274.44,320.17,698.73
15 Gennaio 2022,272.94,318.17,702.57
16 Gennaio 2022,275.44,317.77,707.69
17 Gennaio 2022,275.94,314.97,710.89
18 Gennaio 2022,276.94,317.77,710.25
19 Gennaio 2022,277.44,321.37,712.17
20 Gennaio 2022,279.44,320.97,711.53
21 Gennaio 2022,280.44,324.97,714.73
22 Gennaio 2022,282.44,326.17,714.09
23 Gennaio 2022,283.44,322.97,711.53
24 Gennaio 2022,287.94,322.57,714.73
25 Gennaio 2022,284.94,324.17,712.17
26 Gennaio 2022,286.94,320.17,710.89
27 Gennaio 2022,282.94,318.17,714.09
28 Gennaio 2022,286.44,320.57,709.61
29 Gennaio 2022,282.44,320.17,707.05
30 Gennaio 2022,280.94,324.17,701.29
31 Gennaio 2022,278.94,326.57,702.57
1 Febbraio 2022,281.94,329.77,701.29
2 Febbraio 2022,285.44,331.77,703.21
3 Febbraio 2022,284.94,334.97,701.29
4 Febbraio 2022,283.94,332.97,704.49
5 Febbraio 2022,281.94,334.97,710.89
6 Febbraio 2022,283.44,332.17,708.97
7 Febbraio 2022,279.94,334.17,710.89
8 Febbraio 2022,278.44,333.77,713.45
9 Febbraio 2022,279.94,337.37,714.09
10 Febbraio 2022,280.94,337.77,708.97
11 Febbraio 2022,281.44,339.77,705.77
12 Febbraio 2022,279.94,336.17,708.97
13 Febbraio 2022,278.94,338.17,711.53
14 Febbraio 2022,279.44,341.77,717.93
15 Febbraio 2022,280.94,344.17,717.29
16 Febbraio 2022,278.44,342.97,715.37
17 Febbraio 2022,275.94,343.77,713.45
18 Febbraio 2022,275.44,344.57,712.17
19 Febbraio 2022,278.94,340.97,712.81
20 Febbraio 2022,276.94,343.77,717.93
21 Febbraio 2022,279.44,342.17,714.73
22 Febbraio 2022,277.44,345.77,711.53
23 Febbraio 2022,277.94,344.97,705.77
24 Febbraio 2022,279.94,346.97,701.93
25 Febbraio 2022,281.94,345.77,704.49
26 Febbraio 2022,279.44,342.57,698.73
27 Febbraio 2022,283.44,346.17,698.09
28 Febbraio 2022,283.44,349.77,696.81
1 marzo 2022,282.44,348.57,693.61
2 marzo 2022,284.94,351.77,696.81
3 marzo 2022,286.94,350.17,692.33
4 marzo 2022,289.44,353.77,691.05
5 marzo 2022,293.44,350.57,691.05
6 marzo 2022,292.44,353.77,686.57
7 marzo 2022,296.94,351.77,692.97
8 marzo 2022,297.44,353.77,689.77
9 marzo 2022,300.44,354.17,689.13
10 marzo 2022,299.44,354.97,684.01
11 marzo 2022,298.44,357.37,680.17
12 marzo 2022,301.44,358.17,680.81
13 marzo 2022,300.94,358.17,682.09
14 marzo 2022,303.44,356.57,686.57
15 marzo 2022,298.94,359.77,680.81
16 marzo 2022,296.44,360.17,683.37
17 marzo 2022,299.44,358.57,682.73
18 marzo 2022,296.44,360.97,681.45
19 marzo 2022,293.94,361.37,683.37
20 marzo 2022,293.44,360.57,681.45
21 marzo 2022,292.94,359.77,682.73
22 marzo 2022,294.94,363.37,677.61
23 marzo 2022,297.44,361.77,676.97
24 marzo 2022,299.44,359.37,682.09
25 marzo 2022,296.94,356.17,684.01
26 marzo 2022,296.94,354.57,687.85
27 marzo 2022,294.94,357.37,686.57
28 marzo 2022,297.44,357.77,684.01
29 marzo 2022,295.44,358.17,690.41
30 marzo 2022,296.44,355.37,694.89
31 marzo 2022,296.94,353.37,689.13
1 aprile 2022,300.94,354.57,687.21
2 aprile 2022,298.44,356.97,682.09
3 aprile 2022,296.44,357.77,680.17
4 aprile 2022,298.44,357.37,683.37
5 aprile 2022,297.94,358.57,678.89
6 aprile 2022,296.44,359.37,680.81
7 aprile 2022,297.94,360.57,675.69
8 aprile 2022,296.44,361.37,676.33
9 aprile 2022,298.94,361.77,676.97
10 aprile 2022,299.94,357.77,680.17
